Year,Office,TotalBudget,TotalQty,AvgUnitCost
2025,Alumni Affairs Office,856398.75,237,49440.43529411765
2025,Budget Management Unit,317646.56,208,8178.241851851852
2025,Cashiering Unit,865924.33,596,6156.983793103448
2025,Center for Community and Local Governance Studies and Policy Development,725733.33,152,18355.45
2025,Center for Engineering and Environmental Research,788948.04,268,16932.832790697677
2025,Center for Natural Products Research,9881647.53,2623,28569.647716262978
2025,"Center for Peace, Indigenous People Resources and Development",1760304.18,156,36061.60883720931
2025,Center for Solar and Emerging Technologies,1760010.49,225,44920.22131578947
2025,College of Architecture and Fine Arts,1106998.46,775,14103.947272727273
2025,College of Arts and Social Sciences,2171036.4,869,18652.986555555555
2025,College of Business and Accountancy,4280872.5,2148,26867.64345238095
2025,College of Computer Studies,3706868.56,298,25562.000833333335
2025,College of Criminal Justice and Education,312670.83,509,3605.775625
2025,College of Education,2399096.84,406,49540.443555555554
2025,College of Engineering,16348340.74,556,251504.09072727273
2025,College of Industrial Technology,9468357.4,4669,3387.856735751295
2025,College of Public Administration & Governance,6206438.36,1330,15054.91517857143
2025,Contract Management Unit,186828.97999999998,132,2819.0252941176473
2025,Employee's Welfare Unit,7327720.34,497,136775.5371111111
2025,Extension Services Management Office,19868494.16,998,211839.61609756097
2025,Facilities Maintenance Unit,28633444.51,26063,27756.234007858544
2025,Finance Office,120408.84,96,8275.801428571429
2025,Gender and Development Office,5618571.72,932,41599.46860465116
2025,Graduate Studies Office,312661.74,268,6392.475483870968
2025,Human Resource Development & Management Office,218396.39,179,2761.577777777778
2025,Institutional Student Programs and Services,1527056.6199999999,640,16240.080933333335
2025,Internal Audit Services,122030.39,103,3999.2292592592594
2025,International Affairs and Linkages Office,449772.95999999996,178,8853.29
2025,Janitorial & Ground Services Unit (Main),4546193.3,17521,1534.9890163934426
2025,Monitoring and Inspection Unit,147317.29,127,4040.468148148148
2025,Motorpool Unit,16987604.45,828,257010.43549019605
2025,National Service Training Program,2603810.63,513,48789.41788461538
2025,OAS - Obligation and Administrative Service Unit,8984907.82,28522,61104.29078947368
2025,OAS - Payroll Services Unit,1072058.47,1298,4214.663620689655
2025,OGQM-Anti-Red Tape Unit,1351919.96,274,29707.97717948718
2025,OGQM-Quality Management System Unit,2529204.45,285,73231.33484848484
2025,OUHS-Dental Unit,1408108.36,2957,7597.7678787878785
2025,OUHS-Medical Unit (Main),5174609.12,103296,3879.4744444444445
2025,"Office of Culture, Arts and Languages",5858908.3,850,58528.46533333333
2025,Office of Curriculum and Instruction,648600.0,46,44450.0
2025,Office of Governance and Quality Management,382245.12,6,76444.272
2025,"Office of Planning, Performance, Monitoring & Evaluation",2845668.52,213,64953.35953488372
2025,Office of Student Affairs Services,2603613.36,118,73736.922
2025,Office of the University Legal Counsel,52337.65,322,373.9890243902439
2025,Office of the University President,365804.82,287,3899.4953333333333
2025,Office of the University/Board Secretary,372819.24,545,3449.984390243902
2025,Office of the Vice President for Academic Affairs,632250.47,203,17214.008
2025,Office of the Vice President for Administration,17632647.07,378,322698.47222222225
2025,"Office of the Vice President for Research, Innovation and Extension",545692.58,119,18990.215185185185
2025,Performance Management Unit,9063204.91,1003,111911.38051724138
2025,Planning and Design Unit,391868.28,257,8769.364736842104
2025,Pollution Control and Safety Unit,8690836.15,5656,9771.967623762375
2025,Procurement Unit,1088079.02,1306,15357.709090909091
2025,Public Affairs Office,996576.11,130,13259.391153846153
2025,Quality Assurance Office,5694487.82,826,134343.8019512195
2025,Records & Archives Unit,687944.6,448,9327.245
2025,"Recruitment, Selection and Promotion Unit",1292814.66,642,6910.624795918367
2025,Research Ethics & Review Committee,63918.29,144,1352.2633333333333
2025,"Research, Accreditation and Records Unit",45195.3,169,1397.5235
2025,School of Law,2007511.33,177,60294.715151515156
2025,Sports Development and Management Unit,15489810.51,18367,9859.144775086505
2025,Student Development Services Unit,12478175.14,4526,37383.04016949153
2025,Student Welfare Services Unit,6551629.14,1628,29370.36742647059
2025,Supply and Property Management Unit,3762537.39,17845,25449.607083333332
2025,"Technology, Development, Transfer and Commercialization Office",5372747.76,294,108638.77325581395
2025,Training and Organization Development Unit,2800229.2800000003,749,42227.66965517241
2025,University Hotel,4804962.48,11990,20296.32650793651
2026,Accounting Unit,163000.0,878,430.35714285714283
2026,Admission and Registration Office,7521715.0,4069,15140.083333333334
2026,Alumni Affairs Office,57230.0,38,5163.125
2026,Budget Management Unit,194185.0,199,4286.923076923077
2026,Cashiering Unit,1514122.6,719,4391.532413793104
2026,Center for Community and Local Governance Studies and Policy Development,290461.0,195,10108.857142857143
2026,Center for Engineering and Environmental Research,236090.0,108,8072.055555555556
2026,Center for Natural Products Research,2382095.0,572,20812.156862745098
2026,"Center for Peace, Indigenous People Resources and Development",1826314.0,196,41900.55172413793
2026,Center for Solar and Emerging Technologies,1167666.64,212,19326.73464285714
2026,College of Architecture and Fine Arts,763625.0,421,14748.391304347826
2026,College of Arts and Social Sciences,2594731.5,1131,18946.445054945056
2026,College of Business and Accountancy,3120900.0,959,35400.982142857145
2026,College of Computer Studies,241725.6,258,1002.479375
2026,College of Criminal Justice and Education,2626010.0,254,109926.73913043478
2026,College of Education,3187032.0,632,23141.96551724138
2026,College of Engineering,9219541.0,242,149889.80952380953
2026,College of Industrial Technology,1021646.0,284,7720.585263157895
2026,College of Public Administration & Governance,455075.0,251,3561.1666666666665
2026,Employee's Welfare Unit,6384580.0,432,176736.83333333334
2026,Facilities Maintenance Unit,34777135.0,49066,33659.36497890295
2026,Finance Office,6626.0,49,109.0
2026,Gender and Development Office,9584685.0,957,48731.77647058824
2026,Graduate Studies Office,11240.0,57,341.53846153846155
2026,Human Resource Development & Management Office,44860.0,119,604.2307692307693
2026,Institutional Student Programs and Services,1044690.0,418,11743.606557377048
2026,Internal Audit Services,225600.0,52,9206.785714285714
2026,International Affairs and Linkages Office,678580.0,108,18333.0
2026,Janitorial & Ground Services Unit (Main),4017450.0,13127,3415.3846153846152
2026,Motorpool Unit,12512010.0,925,158604.71153846153
2026,National Service Training Program,835490.0,493,17754.20512820513
2026,OAS - Obligation and Administrative Service Unit,12155500.0,28322,40477.77777777778
2026,OAS - Payroll Services Unit,553969.0,1485,1567.1891891891892
2026,OGQM-Anti-Red Tape Unit,1380280.0,293,21375.0
2026,OGQM-Quality Management System Unit,2741685.0,271,78172.79411764706
2026,OUHS-Dental Unit,2052830.0,2558,12506.25352112676
2026,OUHS-Medical Unit (Main),5139383.2,102552,3313.939752475247
2026,"Office of Culture, Arts and Languages",5720569.5,1024,34690.99193548387
2026,Office of Curriculum and Instruction,1231560.0,34,119232.0
2026,Office of Innovation and Business Development,3594730.0,285,93893.14285714286
2026,"Office of Planning, Performance, Monitoring & Evaluation",2709785.0,133,81095.45454545454
2026,Office of Student Affairs Services,541570.0,268,12866.75
2026,Office of University Extension Services,20948690.6,632,394205.13958333334
2026,Office of the University Legal Counsel,161570.0,226,4365.178571428572
2026,Office of the University President,109166.0,254,580.671875
2026,Office of the University/Board Secretary,209085.0,449,1253.7931034482758
2026,Office of the Vice President for Academic Affairs,303470.0,177,10259.038461538461
2026,Office of the Vice President for Administration,21758080.0,543,399176.48148148146
2026,"Office of the Vice President for Research, Innovation and Extension",20835.0,62,323.3333333333333
2026,Performance Management Unit,5532200.0,364,127951.42857142857
2026,Pollution Control and Safety Unit,4971590.0,6375,10788.521126760563
2026,Procurement Unit,407337.0,1137,3019.3333333333335
2026,Public Affairs Office,455770.0,183,8190.869565217391
2026,Records & Archives Unit,206359.0,309,3598.391304347826
2026,"Recruitment, Selection and Promotion Unit",1766525.0,492,13851.233766233767
2026,Research Ethics & Review Committee,27862.0,140,266.3333333333333
2026,"Research, Accreditation and Records Unit",124585.0,125,1716.5384615384614
2026,School of Law,3862738.0,314,79019.97297297297
2026,Sports Development and Management Unit,11285359.0,15116,7104.555970149254
2026,Student Development Services Unit,17695564.0,3230,71670.05785714286
2026,Student Welfare Services Unit,4854771.84,3496,12645.175154639175
2026,Supply and Property Management Unit,2367008.0,13809,6526.823684210526
2026,Training and Organization Development Unit,72586.0,170,500.4
2026,University Hotel,3507025.0,7715,9146.22641509434
