Year,Office,TotalBudget,TotalQty,AvgUnitCost
2019,College of Business and Accountancy,1698099.12,1703,2221.9021212121215
2019,College of Computer Studies,10197312.5,767,298610.23208333337
2019,College of Criminal Justice and Education,288170.73,162,5642.054166666666
2019,College of Education,2874160.49,706,6712.605
2019,College of Law,260040.18,227,9068.997391304349
2019,College of Public Administration & Governance,44733.1,650,735.955
2019,Commission on Audit,235852.38,127,5543.629259259259
2019,Dental Office,875504.59,2046,15624.725
2019,Extension Services Management Office,1838044.74,1605,26264.2135
2019,Gender and Development Office,1805136.34,2992,16244.323414634147
2019,Human Resource Development & Management Office,2081033.8900000001,881,14070.797076923078
2019,Infrastructure and Management Office,746500.22,322,22999.52870967742
2019,Internal Audit Services,119161.93,77,6190.280625
2019,International Affairs and Linkages Office,59580.99,110,815.3344444444444
2019,Motorpool Unit,3991190.62,40654,4203.662222222222
2019,National Service Training Program,205980.97,11127,425.25777777777773
2019,Office of Culture and Arts,784107.5700000001,855,1333.9572093023257
2019,Office of Institutional Linkages,6174.79,54,175.30599999999998
2019,Office of Student Affairs Services,400694.62,65,21366.959444444445
2019,Office of University Health Services,1812835.0,57567,1685.9759615384614
2019,Office of the University President,110991.82,561,400.1276190476191
2019,Office of the University/Board Secretary,160123.16,315,1833.0860869565215
2019,Office of the Vice President for Academic Affairs,282327.33,176,6364.617368421053
2019,Office of the Vice President for Administration,143459.05,187,2620.9508571428573
2019,"Office of the Vice President for Research, Innovation and Extension",98469.59999999999,174,1877.7493548387097
2019,Panrehiyong Sentro ng Wikang Filipino,123189.75,177,8547.806153846153
2019,Physical Plant and General Services Unit,7845506.68,25385,5981.862425373134
2019,Planning Office,4234538.9,461,36568.73823529411
2019,Procurement Unit,827491.76,365,4135.510256410256
2019,Public Affairs Office,154117.96,87,5966.745416666668
2019,Quality Assurance Office,1117460.79,687,7031.540909090909
2019,Records & Archives Unit,268747.08,157,6086.2021621621625
2019,Scholarship Unit,107593.86,185,2871.873225806452
2019,Sports Development and Management Office,3833978.36,13295,2616.283550295858
2019,Student Development,2045943.98,870,55205.53647058824
2019,Supply and Property Management Unit,848538.53,10083,3575.508448275862
2019,"Technology, Development, Transfer and Commercialization Office",134780.97999999998,1055,9390.69090909091
2019,University Hotel,3348380.34,19107,12554.635465116278
2019,VP for Institutional Linkages & External Affairs,91311.76,87,1235.6478571428572
2020,Accounting Unit,138900.58,213,776.8349999999999
2020,Administrative Services Unit,5530624.67,5532,14116.262441860466
2020,Admission and Registration Office,2322673.75,1598,4137.5275
2020,Alumni Affairs Office,72877.83,85,2257.0653846153846
2020,Budget Management Unit,152945.91,97,6314.028571428571
2020,Cashiering Unit,1808796.8399999999,915,3300.321379310345
2020,Center for Tarlaqueño Studies,100857.36,72,3899.183333333333
2020,College of Architecture and Fine Arts,2092089.47,610,26839.606530612244
2020,College of Arts and Social Sciences,7178772.87,444,15666.64896551724
2020,College of Business and Accountancy,2416377.08,682,8679.958974358975
2020,College of Computer Studies,6236934.0200000005,684,11675.577777777778
2020,College of Criminal Justice and Education,1403405.45,247,41595.84129032258
2020,College of Education,406140.12,271,8301.883157894737
2020,College of Law,327518.81,238,3152.508918918919
2020,College of Public Administration & Governance,783144.5,268,12070.693000000001
2020,Commission on Audit,56688.41,231,722.6348837209302
2020,Extension Services Management Office,2134881.66,1435,23080.108095238094
2020,Gender and Development Office,1997929.03,3640,14377.42543859649
2020,Human Resource Development & Management Office,3626524.73,942,31534.72347826087
2020,Institutional Student Programs and Services,3146017.31,75115,3175.7619897959185
2020,Integrated Management System Unit,3756834.64,699,33871.51944444444
2020,Internal Audit Services,167805.38,55,8252.976
2020,International Affairs and Linkages Office,57454.2,98,969.7819047619048
2020,Motorpool Unit,7483381.91,780,63542.159534883715
2020,National Service Training Program,464729.57,776,3158.519210526316
2020,Office of the University President,454196.44,636,4317.145454545454
2020,Office of the University/Board Secretary,153965.44,257,1086.3257692307693
2020,Office of the Vice President for Academic Affairs,336573.52,185,10470.608275862069
2020,Office of the Vice President for Administration,134884.01,219,2934.3966666666665
2020,Office of the Vice President for Planning and Quality Assurance,15449.77,91,126.93
2020,"Office of the Vice President for Research, Innovation and Extension",346991.57,135,6736.936285714286
2020,Panrehiyong Sentro ng Wikang Filipino,125848.2,81,4707.5304
2020,Planning Office,220146.59,107,6400.8985
2020,Procurement Unit,597852.43,1298,1233.1110714285714
2020,Public Affairs Office,270280.79,134,7096.793333333333
2020,Quality Assurance Office,2011996.88,938,19088.42833333333
2020,Records & Archives Unit,361833.36,325,6200.413191489361
2020,Research Ethics & Review Committee,128537.36,80,5372.792272727273
2020,Student Affairs Services,2873820.4699999997,10167,5605.536451612903
2020,Student Development Services Unit,8213772.62,6812,12078.029780701754
2020,Student Welfare Services Unit,2863018.35,1093,7224.008953488373
2020,Supply and Property Management Unit,1471535.29,11996,6731.201132075473
2020,"Technology, Development, Transfer and Commercialization Office",782486.86,162,28104.62
2020,University Hotel,3340130.4,17349,5515.638666666667
2021,Accounting Unit,1289131.56,868,8335.07173076923
2021,Administrative Services Unit,8870557.08,28202,8755.551333333333
2021,Admission and Registration Office,2399506.48,1598,4472.910298507462
2021,Alumni Affairs Office,88762.38,110,5483.193571428572
2021,Budget Management Unit,549144.47,531,2713.199
2021,Career Education & Job Placement Section,136661.5,242,2934.67
2021,Cashiering Unit,1982412.23,927,5891.378048780488
2021,Center for Tarlaqueño Studies,97538.7,73,3329.6285185185184
2021,College of Architecture and Fine Arts,499246.36,317,8603.925208333334
2021,College of Arts and Social Sciences,9346468.51,919,24648.754761904762
2021,College of Business and Accountancy,880129.2000000001,1061,8446.309090909092
2021,College of Computer Studies,411283.18,1946,4250.638000000001
2021,College of Criminal Justice and Education,1211946.6400000001,212,27480.908055555556
2021,College of Education,1145281.46,250,16410.84
2021,College of Public Administration & Governance,132072.36,288,3063.3496428571425
2021,Commission on Audit,69519.55,160,2193.7276
2021,Data Protection Office,173621.62,37,12161.324615384616
2021,Employee's Welfare Unit,1474180.62,84,46511.320666666674
2021,Extension Services Management Office,2003499.5,495,18060.495714285717
2021,Gender and Development Office,2304409.18,1873,17048.949464285713
2021,Guidance & Counseling Section (Lucinda),698182.41,280,3318.1538775510207
2021,Human Resource Development & Management Office,171504.66,104,2941.60725
2021,Institutional Planning and Development Office,116181.52,58,5036.486818181817
2021,Institutional Student Programs and Services,228151.36,316,4251.598666666667
2021,Integrated Management System Unit,14062709.620000001,577,271646.65411764703
2021,Internal Audit Services,100850.97,67,4160.461818181819
2021,International Affairs and Linkages Office,462276.85,143,14037.269999999999
2021,"International, Differently-Abled, Indigenous, Marginalized Student Services",258139.36,251,5178.680454545454
2021,Motorpool Unit,8786081.28,1092,72372.65301886792
2021,National Service Training Program,355761.13,276,6369.6237142857135
2021,OUHS-Dental Unit,970846.15,3646,7460.408833333334
2021,OUHS-Medical Unit (Main),3348925.24,75734,2714.908047337278
2021,"Office of Culture, Arts and Languages",1653083.94,798,26775.368611111113
2021,Office of the University President,932783.21,706,10235.413636363637
2021,Office of the University/Board Secretary,247049.23,274,3243.731111111111
2021,Office of the Vice President for Academic Affairs,329443.86,231,8462.93138888889
2021,Office of the Vice President for Administration,283422.02,258,5260.865
2021,Office of the Vice President for Planning and Quality Assurance,86333.4,119,1589.6672727272728
2021,"Office of the Vice President for Research, Innovation and Extension",69602.53,79,1507.009642857143
2021,Performance Management Unit,3158429.63,153,38630.385116279074
2021,Procurement Unit,965728.64,630,9665.71441860465
2021,Public Affairs Office,468398.45,96,7337.418636363636
2021,Quality Assurance Office,1941393.82,765,14578.393055555556
2021,Records & Archives Unit,337536.04000000004,697,6030.235227272727
2021,"Recruitment, Selection and Promotion Unit",191409.54,122,2541.433636363636
2021,Research Ethics & Review Committee,307446.72,156,8147.077499999999
2021,"Research, Accreditation and Records unit",266170.92,283,1932.9941666666668
2021,Scholarship and Financial Assistance Section,58951.35,217,675.5500000000001
2021,School of Law,201229.84,162,5421.552571428571
2021,Sports Development and Management Unit,5855529.24,11560,4542.947405405405
2021,Student Affairs Services,3628127.41,2130,16585.591596638656
2021,Student Development Services Unit,87237.78,177,1311.283
2021,Student Development Unit,125954.35,238,4498.79380952381
2021,Student Organization Section,343677.9,84,14482.331428571426
2021,Student Publication Section,5008103.43,455,56593.47051724138
2021,Student Welfare Services Unit,1075152.96,212,19212.27608695652
2021,Supply and Property Management Unit,965145.5,9638,4221.629583333333
2021,"Technology, Development, Transfer and Commercialization Office",1685244.31,191,62107.693846153845
2021,"Testing, Evaluation & Monitoring Section",2001042.18,388,51283.58142857143
2021,Training and Organization Development Unit,2335022.56,155,4137.588918918919
2021,University Hotel,3870310.29,26156,1906.8871874999998
2021,VPPQA - PCSU,13861376.11,32196,212014.04101694914
2022,Accounting Unit,254136.26,948,675.7493617021277
2022,Administrative Services Unit,5979279.04,21526,7563.256282051282
2022,Admission and Registration Office,2558844.78,1768,4800.195689655172
2022,Alumni Affairs Office,11867.78,77,156.48333333333332
2022,Budget Management Unit,224211.77000000002,442,1066.4023529411766
2022,Career Education & Job Placement Section,257118.66,251,6104.117222222222
2022,Cashiering Unit,1950037.94,995,8080.579117647059
2022,Center for Tarlaqueño Studies,83808.18,146,4818.917857142857
2022,College of Architecture and Fine Arts,30221.4,305,192.97222222222223
2022,College of Arts and Social Sciences,5430444.11,524,74730.32984374999
2022,College of Business and Accountancy,2428149.96,1772,15820.241546391751
2022,College of Computer Studies,1361852.63,1087,36590.61515151515
2022,College of Criminal Justice and Education,734423.76,241,14672.592352941178
2022,College of Education,4446539.02,260,5567.7490625
2022,College of Public Administration & Governance,42463.54,137,1190.4609090909091
2022,Commission on Audit,68223.38,211,1143.2109090909091
2022,Data Protection Office,242383.42,24,16796.237142857142
2022,Economic Enterprise Development Section,12085.630000000001,77,114.745
2022,Employee's Welfare Unit,1492206.06,87,48443.43068965517
2022,Extension Services Management Office,485532.41,463,8560.502142857144
2022,Gender and Development Office,3659711.04,196,95731.82
2022,Guidance & Counseling Section (Lucinda),1224255.56,224,32473.84
2022,Human Resource Development & Management Office,66013.0,95,472.8212121212121
2022,Institutional Planning and Development Office,1014267.64,55,53079.205789473686
2022,Institutional Student Programs and Services,80283.69,198,2255.0389285714286
2022,Integrated Management System Unit,1032617.23,209,25195.617000000002
2022,Internal Audit Services,20941.72,45,992.1405882352941
2022,International Affairs and Linkages Office,2331931.09,251,17540.250555555554
2022,"International, Differently-Abled, Indigenous, Marginalized Student Services",216725.0,168,6359.39
2022,Motorpool Unit,9915855.59,986,58652.547073170725
2022,National Service Training Program,555194.44,267,16411.308125
2022,OUHS-Dental Unit,1470941.9100000001,2033,18211.515925925927
2022,OUHS-Medical Unit (Main),3005762.03,59065,1818.607421383648
2022,"Office of Culture, Arts and Languages",691554.34,658,2203.896
2022,Office of the University President,801174.0,482,13323.92347826087
2022,Office of the University/Board Secretary,189615.26,293,2346.451212121212
2022,Office of the Vice President for Academic Affairs,718287.76,369,14528.761395348836
2022,Office of the Vice President for Administration,261197.44,204,6227.248888888888
2022,Office of the Vice President for Planning and Quality Assurance,106114.26,149,3388.194761904762
2022,"Office of the Vice President for Research, Innovation and Extension",30617.14,76,634.4107692307692
2022,Performance Management Unit,2945105.27,181,37615.54466666667
2022,Procurement Unit,956243.29,886,6896.752162162163
2022,Public Affairs Office,968902.06,70,23265.16470588235
2022,Quality Assurance Office,1723360.26,1120,12428.210000000001
2022,Records & Archives Unit,306382.41000000003,261,6851.54641025641
2022,"Recruitment, Selection and Promotion Unit",236400.66,84,4589.134
2022,Research Ethics & Review Committee,149967.9,136,3626.5829166666667
2022,"Research, Accreditation and Records unit",184867.89,284,6103.86925925926
2022,Scholarship and Financial Assistance Section,252172.16999999998,83,9385.959583333333
2022,School of Law,1120279.43,399,9986.975135135135
